IRGC_ID,COUNTRY,LAT,LON,bdodmean,cecmean,cfvomean,claymean,nitrogenmean,phh2omean,sandmean,siltmean,socmean,ocdmean,T_ESP,T_ECE,S_ESP,S_ECE,pawc,moist
IRIS_313-11402,Bangladesh,24.30528,91.67944,1.39,17.2,10.4,36.4,2.1,5.6,30.6,33.1,6.7,9,2,0.1,2,0.1,230.4100037,200
IRIS_313-11403,India,10.75861,78.98389,1.53,32.3,10.6,49,0.73,7.6,26.2,24.8,3.9,7.4,3,0.1,3,0.1,213.9830017,110
IRIS_313-11404,Bangladesh,24.38333,91.41667,1.37,19.2,11.6,39.4,2.51,5.5,30.7,30,7.1,8.2,2,0.1,2,0.1,230.4100037,200
IRIS_313-11405,Myanmar,18.68361,96.68306,1.38,20.6,22.9,32.8,0.79,5.5,36.6,30.6,11.1,6.5,2,0.1,2,0.1,220.6580048,164
IRIS_313-11414,India,21.12778,82.80056,1.67,29.2,23.1,42.2,0.52,7.2,22.8,35,3.4,6.2,1,0.1,1,0.1,220.5570068,110
IRIS_313-11442,India,21.12778,82.80056,1.67,29.2,23.1,42.2,0.52,7.2,22.8,35,3.4,6.2,1,0.1,1,0.1,220.5570068,110
IRIS_313-11443,India,21.12778,82.80056,1.67,29.2,23.1,42.2,0.52,7.2,22.8,35,3.4,6.2,1,0.1,1,0.1,220.5570068,110
IRIS_313-11445,India,25.87972,85.80389,1.42,14.7,10.5,30,0.74,7.4,31.6,38.4,4.2,8,1,0.3,1,0.3,238.8240051,164
IRIS_313-11446,India,24.77,93.86222,1.36,15.1,16.1,37.1,1.25,5.7,28.8,34.1,7.1,8.7,1,0.1,2,0.1,249.404007,62
IRIS_313-11447,India,24.77,93.86222,1.36,15.1,16.1,37.1,1.25,5.7,28.8,34.1,7.1,8.7,1,0.1,2,0.1,249.404007,62
IRIS_313-11460,India,21.12778,82.80056,1.67,29.2,23.1,42.2,0.52,7.2,22.8,35,3.4,6.2,1,0.1,1,0.1,220.5570068,110
IRIS_313-11490,India,24.41667,93.49972,1.13,17.9,29.9,38.4,1.91,5.2,24.5,37.2,7,7.8,1,0.1,2,0.1,267.2160034,62
IRIS_313-11492,India,21.12778,82.80056,1.67,29.2,23.1,42.2,0.52,7.2,22.8,35,3.4,6.2,1,0.1,1,0.1,220.5570068,110
IRIS_313-11505,India,21.12778,82.80056,1.67,29.2,23.1,42.2,0.52,7.2,22.8,35,3.4,6.2,1,0.1,1,0.1,220.5570068,110
IRIS_313-11506,India,21.12778,82.80056,1.67,29.2,23.1,42.2,0.52,7.2,22.8,35,3.4,6.2,1,0.1,1,0.1,220.5570068,110
IRIS_313-11509,Thailand,13.03944,101.49194,1.44,14.8,12.1,33.7,0.42,6,31.5,34.8,4.9,8.6,3,0.1,2,0.1,244.2519989,98
IRIS_313-11521,Vietnam,16.47278,106.66056,1.3,17.7,16.1,46.4,0.73,5.7,27.1,26.5,8.2,9.8,1,0.1,2,0.1,249.1390076,62
IRIS_313-11530,Thailand,13.03944,101.49194,1.44,14.8,12.1,33.7,0.42,6,31.5,34.8,4.9,8.6,3,0.1,2,0.1,244.2519989,98
IRIS_313-11543,Myanmar,17.62,96.58472,1.34,25.3,16.6,33.3,1.16,6,28.5,38.2,20.9,12.1,1,0.1,1,0.1,220.6580048,164
IRIS_313-11544,Myanmar,21.7225,98.66694,1.3,15.1,30.3,41.8,0.95,5.5,27.9,30.3,10.2,8.5,1,0.1,2,0.1,249.1390076,62
IRIS_313-11545,Myanmar,24.48778,95.52333,1.38,18.3,19.3,36.3,0.69,5.6,32.1,31.6,6.4,6.7,1,0.1,2,0.1,249.404007,62
IRIS_313-11546,Myanmar,24.48778,95.52333,1.38,18.3,19.3,36.3,0.69,5.6,32.1,31.6,6.4,6.7,1,0.1,2,0.1,249.404007,62
IRIS_313-11547,Myanmar,21.7225,98.66694,1.3,15.1,30.3,41.8,0.95,5.5,27.9,30.3,10.2,8.5,1,0.1,2,0.1,249.1390076,62
IRIS_313-11548,Myanmar,24.48778,95.52333,1.38,18.3,19.3,36.3,0.69,5.6,32.1,31.6,6.4,6.7,1,0.1,2,0.1,249.404007,62
IRIS_313-11549,Myanmar,24.48778,95.52333,1.38,18.3,19.3,36.3,0.69,5.6,32.1,31.6,6.4,6.7,1,0.1,2,0.1,249.404007,62
